Years Elapsed,Cumulative Out-Migrants,Instant Out-Migrants,Average Out-Migrants,Total Re-Migrants,Instant Re-Migrants,Average Re-Migrants,Total Marriages,Total Births,Total Deaths,Average Laborers,Average Household Size,Average Income,Population,GTGP Parcels Per Household,Non-GTGP Parcels Per Household
0,103,86,0.9148936170212766,15,15,0.1595744680851064,2.0,0,2,1.627659574468085,3.0425531914893615,20962.316731939805,190,0.010638297872340425,2.5
1,113,84,0.8936170212765957,27,25,0.26595744680851063,2.0,0,4,1.648936170212766,3.0425531914893615,20641.515152665925,190,1.3617021276595744,1.148936170212766
2,124,85,0.9042553191489362,37,28,0.2978723404255319,4.0,0,5,1.6702127659574468,3.021276595744681,21075.825278882246,188,1.7127659574468086,0.7978723404255319
3,131,85,0.9042553191489362,44,29,0.30851063829787234,5.0,18,6,1.6808510638297873,3.202127659574468,21094.22569025072,205,1.8829787234042554,0.6276595744680851
4,138,83,0.8829787234042553,53,31,0.32978723404255317,10.0,22,9,1.702127659574468,3.234042553191489,21350.25066103424,208,1.9893617021276595,0.5212765957446809
5,154,85,0.9042553191489362,67,34,0.3617021276595745,13.0,23,15,1.702127659574468,3.1595744680851063,21188.92587168593,201,2.021276595744681,0.48936170212765956
6,163,82,0.8723404255319149,79,40,0.425531914893617,15.0,26,21,1.7234042553191489,3.1595744680851063,20418.575561835445,201,2.0425531914893615,0.46808510638297873
7,175,83,0.8829787234042553,90,41,0.43617021276595747,15.0,27,25,1.702127659574468,3.117021276595745,20650.90194845071,197,2.0851063829787235,0.425531914893617
8,182,81,0.8617021276595744,99,45,0.4787234042553192,19.0,31,28,1.7127659574468086,3.148936170212766,20176.06310575484,200,2.106382978723404,0.40425531914893614
9,197,82,0.8723404255319149,113,45,0.4787234042553192,21.0,33,28,1.702127659574468,3.1595744680851063,19897.374316949543,201,2.1595744680851063,0.35106382978723405
10,208,84,0.8936170212765957,122,43,0.4574468085106383,22.0,37,30,1.7127659574468086,3.1595744680851063,20014.24290651934,201,2.202127659574468,0.30851063829787234
11,216,84,0.8936170212765957,130,46,0.48936170212765956,27.0,39,33,1.7127659574468086,3.148936170212766,20242.018181156993,200,2.2127659574468086,0.2978723404255319
